name,email,country,region,phone,address,occupation,score,registration_number,married
Ria Frazier,sem.pellentesque@senectuset.edu,Brazil,Santa Catarina,(63) 0000-1143,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Enfermeiro Plantonista,4,3,Nao
Amber Watkins,dui.lectus@erat.ca,Brazil,Maranhão,(44) 0000-0614,278-6619 Donec St.,Tecnico Em Radiologia,9,8,Sim
Zoe Dotson,orci.ut.semper@rhoncusdonec.co.uk,Brazil,Pernambuco,(44) 0000-9547,809-7435 Ac St.,Enfermeiro Chefe,10,9,Nao
Ivan Whitley,ornare.placerat.orci@duisrisus.com,Brazil,Pernambuco,(12) 0000-5476,Ap #719-9832 Faucibus St.,Auxiliar de Enfermagem,5,10,Sim
Ishmael Durham,proin.nisl@augueeutellus.co.uk,Brazil,Rio Grande do Sul,(84) 0000-3112,622-2201 Nisl. St.,Tecnico Enfermagem,1,1,Nao
Brian Hensley,nam.tempor@integerid.com,Brazil,Paraíba,(38) 0000-5515,923-3687 Enim St.,Enfermeiro UTI,9,2,Sim
Sage Mcmillan,mauris.a@metusin.edu,Brazil,Goiás,(65) 0000-3611,Ap #831-7721 Volutpat. Rd.,Medico,4,7,Nao
Isaiah Baird,et.rutrum@etlaciniavitae.co.uk,Brazil,Minas Gerais,(02) 0000-8452,646-5870 Dapibus Av.,Tecnico Em Radiologia,8,4,Nao
Owen Hernandez,auctor.velit@laoreet.co.uk,Brazil,Maranhão,(06) 0000-2135,138-9173 Lacinia Rd.,Enfermeiro Chefe,1,4,Nao
Simone Jensen,ut@risusdonecnibh.org,Brazil,Minas Gerais,(96) 0000-9301,687-9165 Arcu. Av.,Tecnico Enfermagem,9,1,Nao
Hollee Giles,laoreet.libero@ac.com,Brazil,Bahia,(60) 0000-5346,"Rahim French,amet.metus@quisque.net,Brazil,Pará,(35) 0000-9825,Ap #689-1854 Litora St.,Gerente de Enfermagem,9,2,Sim",Cirurgiao,5,3,Sim
Eaton Pittman,facilisis@nasceturridiculusmus.net,Brazil,Minas Gerais,(86) 0000-2434,Ap #282-8107 Tristique Rd.,Auxiliar de Enfermagem,4,9,Sim
Burton Kennedy,sem.ut@donecconsectetuermauris.ca,Brazil,Pernambuco,(27) 0000-2128,138-9385 Malesuada St.,Farmaceutico,1,3,Nao
Brittany Rocha,lobortis.nisi@mifelis.edu,Brazil,São Paulo,(22) 0000-3227,5022 Nibh Street,Enfermeiro Obstreta,3,9,Nao
Jerome Hobbs,ac.ipsum@tellusphasellus.ca,Brazil,Minas Gerais,(40) 0000-4798,361-1668 Velit. Rd.,Auxiliar de Enfermagem,5,4,Sim
Simon Humphrey,ac.metus.vitae@tempor.com,Brazil,Paraná,(29) 0000-6548,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Medico,7,4,Nao
Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao
Christen Huff,ac@ametfaucibus.net,Brazil,Minas Gerais,(38) 0000-5774,210-352 Ligula. Street,Cirurgiao,3,2,Nao
Raymond Mcneil,nec.euismod@inscelerisque.com,Brazil,Minas Gerais,(70) 0000-7321,Ap #824-1213 Lorem Ave,Tecnico Enfermagem,5,7,Nao
Eugenia Bonner,mi.ac@fuscedolorquam.net,Brazil,Santa Catarina,(83) 0000-8561,303-8809 Id Av.,Auxiliar de Enfermagem,4,6,Nao
Rogan Mcmillan,proin.ultrices.duis@vivamus.ca,Brazil,Pernambuco,(53) 0000-3016,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Enfermeiro Plantonista,7,9,Nao
Quinn Lawson,adipiscing.enim@acorci.org,Brazil,Santa Catarina,(24) 0000-6138,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Enfermeiro Chefe,10,1,Nao
Shelly Buchanan,eu.dui@convallisligula.edu,Brazil,Pará,(14) 0000-3687,Ap #872-7479 Sed St.,Auxiliar de Enfermagem,3,4,Nao
Kirsten Martinez,vestibulum@anteiaculisnec.net,Brazil,Santa Catarina,(06) 0000-7983,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Fisioterapeuta Geral,5,1,Sim
Ryan Pugh,elementum.lorem.ut@erat.org,Brazil,Santa Catarina,(49) 0000-6879,Ap #665-9738 Ipsum Av.,Enfermeiro Obstreta,8,9,Nao
Ulric Curry,nunc.est@tristiqueac.net,Brazil,Paraná,(75) 0000-5681,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Gerente de Enfermagem,3,3,Nao
Buckminster Pratt,malesuada.fames@infaucibus.com,Brazil,Santa Catarina,(21) 0000-5528,Ap #583-2437 Ac Street,Coordenador de Enfermagem,5,2,Sim
Addison Buckner,a.mi.fringilla@sedconsequatauctor.com,Brazil,Goiás,(53) 0000-2607,731-9483 Rutrum Ave,Medico,2,9,Sim
Wyatt Nicholson,mauris.magna@adipiscingfringilla.co.uk,Brazil,Paraná,(18) 0000-5311,Ap #897-614 Morbi Rd.,Nefrologista,2,7,Nao
Ivan Hebert,turpis.nec.mauris@etiam.edu,Brazil,Rio Grande do Sul,(26) 0000-2608,668-9624 Nulla. Rd.,Enfermeiro Plantonista,7,3,Nao
Derek Dickson,ante.iaculis@sem.org,Brazil,Minas Gerais,(78) 0000-0513,1720 Integer Avenue,Farmaceutico,6,2,Sim
Sydnee Juarez,turpis.egestas@accumsan.edu,Brazil,Paraná,(77) 0000-7249,970-4126 Nulla. Rd.,Enfermeiro Obstreta,1,8,Nao
Vivian Pugh,vitae@eleifend.edu,Brazil,Rio Grande do Sul,(89) 0000-0215,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Medico,2,10,Sim
Kevyn Mcgowan,sociis.natoque.penatibus@sit.org,Brazil,Pernambuco,(42) 0000-5826,512-9430 In Avenue,Farmaceutico,6,8,Nao
Meghan Washington,in.sodales.elit@maurismorbi.org,Brazil,Pará,(48) 0000-8384,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Nefrologista,10,5,Sim
Ruby Donaldson,nullam.scelerisque@suspendissenon.com,Brazil,Pará,(16) 0000-9828,Ap #383-8280 Tristique Avenue,Enfermeiro UTI,9,8,Nao
Marah Miller,et@est.com,Brazil,Santa Catarina,(19) 0000-2438,Ap #502-6932 Nibh. Rd.,Enfermeiro Plantonista,9,6,Sim
Anne Cleveland,posuere.cubilia@at.org,Brazil,Rio de Janeiro,(93) 0000-5474,Ap #696-2759 Erat St.,Nefrologista,9,10,Nao
Herrod Farmer,augue.scelerisque.mollis@lacuscras.net,Brazil,Paraíba,(52) 0000-4944,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Enfermeiro UTI,2,6,Sim
Merrill Macdonald,ad@scelerisquescelerisque.ca,Brazil,Minas Gerais,(81) 0000-2632,1237 In Av.,Medico,3,2,Sim
Roanna Hampton,sit@duis.edu,Brazil,Paraíba,(38) 0000-8475,752-6770 Dolor. Avenue,Auxiliar de Enfermagem,8,2,Nao
Ila Hopper,sociosqu@semconsequat.net,Brazil,Rio de Janeiro,(91) 0000-8847,626-7958 Eleifend Rd.,Auxiliar de Enfermagem,6,6,Sim
Emery Barker,bibendum.sed@turpisegestas.edu,Brazil,Minas Gerais,(72) 0000-1868,414-6866 Dolor St.,Medico,6,3,Sim
Caesar Spears,id.magna@malesuadautsem.co.uk,Brazil,Maranhão,(24) 0000-1988,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Enfermeiro Obstreta,5,8,Nao
Lucius Forbes,mattis.velit@cursus.ca,Brazil,Paraíba,(63) 0000-3352,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Fisioterapeuta Geral,6,9,Nao
Stuart Boyd,luctus.felis@auguesed.com,Brazil,Rio de Janeiro,(22) 0000-4711,559-8468 Duis Av.,Enfermeiro UTI,1,10,Sim
Carissa Porter,adipiscing.enim@pellentesqueut.co.uk,Brazil,Paraíba,(38) 0000-6728,Ap #431-8529 Libero Road,Enfermeiro Chefe,2,9,Nao
Larissa Lawson,feugiat.tellus@nislnulla.co.uk,Brazil,Minas Gerais,(72) 0000-3353,690-2841 Mattis. St.,Auxiliar de Enfermagem,9,2,Sim
Chiquita Howe,proin.velit@magnacras.com,Brazil,Goiás,(09) 0000-1942,Ap #778-2561 Ante. Rd.,Coordenador de Enfermagem,1,6,Sim
Dalton Velez,fringilla.cursus@quampellentesque.com,Brazil,Ceará,(86) 0000-1614,1854 Dolor St.,Tecnico Em Radiologia,9,6,Sim
Ainsley Nolan,ornare.sagittis@aeneansedpede.co.uk,Brazil,Paraíba,(35) 0000-5982,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Nefrologista,6,6,Sim
Caldwell Beard,neque.sed@magnalorem.edu,Brazil,Paraná,(80) 0000-4436,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Fisioterapeuta Geral,9,1,Sim
Simon Talley,venenatis.a.magna@placeratvelitquisque.org,Brazil,Rio Grande do Sul,(18) 0000-7992,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Fisioterapeuta Geral,1,4,Sim
Hayfa Jimenez,at@velnisl.ca,Brazil,Goiás,(84) 0000-7621,Ap #343-852 Proin Ave,Gerente de Enfermagem,5,2,Nao
Wing Justice,curae@dolor.org,Brazil,Paraná,(38) 0000-3442,Ap #261-4501 Sit Rd.,Farmaceutico,2,7,Sim
Caesar Johnson,lectus.nullam.suscipit@uteratsed.co.uk,Brazil,Santa Catarina,(71) 0000-4182,839-8762 Cras Rd.,Fisioterapeuta Geral,10,6,Nao
Kyla Perez,dui@tellus.org,Brazil,Ceará,(23) 0000-1303,876-1084 Dolor. Ave,Tecnico Enfermagem,5,7,Nao
Venus King,nunc.risus@nibhdolor.co.uk,Brazil,Pernambuco,(21) 0000-3925,Ap #433-9207 Eleifend Ave,Fisioterapeuta Geral,7,8,Nao
Hakeem Adams,lobortis@interdumsedauctor.com,Brazil,Pernambuco,(38) 0000-3307,"Brent Barker,neque.vitae@necimperdiet.net,Brazil,Minas Gerais,(84) 0000-7251,Ap #934-3708 Sodales Av.,Enfermeiro Plantonista,4,9,Nao",Enfermeiro Obstreta,6,4,Nao
Quon Vaughan,felis.ullamcorper@morbi.edu,Brazil,Pará,(63) 0000-5314,378-5340 Arcu. St.,Enfermeiro Chefe,2,2,Sim
Beverly Barrett,lorem.vehicula@non.net,Brazil,Paraíba,(54) 0000-1831,Ap #952-3480 Ligula. Road,Fisioterapeuta Geral,9,4,Sim
Rogan Atkins,lorem.tristique@etmagnis.org,Brazil,Pernambuco,(53) 0000-3500,448-7380 Donec Avenue,Enfermeiro Obstreta,5,4,Sim
Kiara Cochran,turpis.in@intincidunt.net,Brazil,Paraíba,(95) 0000-7489,1013 Ipsum. Ave,Auxiliar de Enfermagem,7,1,Nao
Claire Kaufman,turpis.vitae@nisi.com,Brazil,Goiás,(74) 0000-1833,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Cirurgiao,7,6,Sim
Fletcher Avila,donec.at.arcu@adipiscingligula.edu,Brazil,São Paulo,(17) 0000-4187,5665 Aliquam St.,Cirurgiao,10,4,Nao
Delilah Golden,donec@duifusce.ca,Brazil,Goiás,(29) 0000-3339,762-5794 Est. St.,Enfermeiro UTI,3,1,Nao
Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Nefrologista,1,8,Sim
Adrian Dillard,lectus@ametrisus.co.uk,Brazil,Bahia,(54) 0000-3338,198-6379 Luctus Av.,Enfermeiro Plantonista,10,7,Nao
Amy Blackwell,in.faucibus.orci@tincidunt.org,Brazil,Pernambuco,(78) 0000-6433,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Coordenador de Enfermagem,7,7,Nao
Clementine Weeks,metus@egetdictumplacerat.net,Brazil,Rio de Janeiro,(30) 0000-9287,132-6445 Phasellus Avenue,Auxiliar de Enfermagem,4,4,Nao
Lila Santana,quisque.libero@nibhlaciniaorci.org,Brazil,Maranhão,(77) 0000-2310,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Nefrologista,5,5,Nao
Yvette Pacheco,ipsum.donec@massaquisqueporttitor.ca,Brazil,Rio de Janeiro,(77) 0000-5536,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Tecnico Em Radiologia,4,1,Nao
Calista Rodgers,eu.nibh.vulputate@elit.co.uk,Brazil,Pará,(72) 0000-8372,8590 Sem St.,Enfermeiro Chefe,6,1,Nao
Melissa Alvarez,cras.dictum.ultricies@maurismorbinon.net,Brazil,Minas Gerais,(80) 0000-1724,196-4177 Luctus Rd.,Enfermeiro UTI,5,10,Sim
Ann Chang,risus.morbi.metus@eratvivamus.net,Brazil,Bahia,(83) 0000-6507,145-1099 Eget St.,Enfermeiro UTI,5,8,Nao
Jena Hardin,dolor.sit@lectusante.edu,Brazil,Pará,(31) 0000-1546,Ap #738-5046 Nulla. Avenue,Coordenador de Enfermagem,4,1,Sim
Roth Gay,mauris.a@necmaurisblandit.net,Brazil,Minas Gerais,(65) 0000-3086,127-775 Rutrum. Ave,Medico,4,1,Sim
Sharon Santana,id.erat@lectussitamet.ca,Brazil,Paraíba,(52) 0000-5717,216-7560 Tincidunt Road,Cirurgiao,5,6,Nao
Wynter Thompson,netus@nulla.org,Brazil,Paraíba,(71) 0000-2302,Ap #661-3230 Parturient Road,Cirurgiao,1,9,Sim
Noble Mcclure,pellentesque.ut@consectetuerrhoncus.co.uk,Brazil,Pernambuco,(28) 0000-0317,5519 Cras Road,Farmaceutico,1,4,Nao
Noel Dickerson,arcu@tinciduntadipiscingmauris.com,Brazil,Maranhão,(22) 0000-3874,253-9651 Malesuada St.,Fisioterapeuta Geral,1,1,Nao
Fritz Miranda,blandit@molestie.ca,Brazil,Goiás,(41) 0000-1421,Ap #445-4472 Cras Av.,Gerente de Enfermagem,1,9,Sim
Cooper Barber,est.nunc.laoreet@lectuscumsociis.edu,Brazil,Pará,(25) 0000-6764,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Enfermeiro Plantonista,3,10,Nao
Ann Walker,sagittis.lobortis@proinvel.org,Brazil,Pernambuco,(07) 0000-1881,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Tecnico Em Radiologia,8,4,Sim
Lars Wheeler,mauris.vestibulum@crasdictum.org,Brazil,Santa Catarina,(38) 0000-3984,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Gerente de Enfermagem,1,8,Sim
Ciaran Jackson,vitae.posuere.at@arcualiquam.co.uk,Brazil,São Paulo,(56) 0000-3783,7221 Mus. Rd.,Nefrologista,7,5,Nao
Katelyn Hood,arcu@miduisrisus.ca,Brazil,Rio de Janeiro,(52) 0000-5852,Ap #545-5301 Ornare St.,Enfermeiro Chefe,4,1,Sim
Ronan Potter,risus.duis@nullainteger.co.uk,Brazil,Pernambuco,(30) 0000-3154,748-4428 Curabitur Avenue,Enfermeiro Obstreta,10,7,Nao
Thaddeus Spence,porttitor.scelerisque.neque@aarcu.ca,Brazil,Paraná,(61) 0000-8472,9221 Tortor Ave,Auxiliar de Enfermagem,5,1,Sim
Tashya Casey,fusce.feugiat@ipsumdolorsit.ca,Brazil,Rio Grande do Sul,(64) 0000-2583,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Enfermeiro UTI,3,8,Nao
Reece Pace,nec.urna@vitaenibhdonec.edu,Brazil,São Paulo,(75) 0000-7997,129-9428 Scelerisque Rd.,Tecnico Em Radiologia,3,8,Nao
Caleb Reynolds,ornare.sagittis.felis@nulladignissimmaecenas.edu,Brazil,Bahia,(37) 0000-6536,Ap #728-1973 Morbi Av.,Gerente de Enfermagem,6,10,Nao
Darrel Wilson,ornare.lectus@maurisblandit.net,Brazil,Goiás,(44) 0000-7653,7302 Phasellus Road,Medico,4,1,Sim
Macy Christensen,sem.nulla.interdum@idantenunc.org,Brazil,Paraná,(52) 0000-4624,Ap #693-3052 Ut Avenue,Enfermeiro Chefe,9,4,Sim
Allen Cook,ut@dictumplacerat.net,Brazil,Minas Gerais,(85) 0000-9351,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Coordenador de Enfermagem,7,1,Sim
Brody Rivas,ante.nunc@aenean.ca,Brazil,Bahia,(48) 0000-1029,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Cirurgiao,5,9,Nao
Aquila Velazquez,elit.elit@non.net,Brazil,Rio Grande do Sul,(78) 0000-2303,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Medico,9,4,Nao
Belle Hale,velit.eu.sem@nunclaoreetlectus.edu,Brazil,Minas Gerais,(88) 0000-2439,945-9887 Vel Ave,Fisioterapeuta Geral,3,9,Sim
Alea William,nunc@feugiattelluslorem.org,Brazil,Goiás,(38) 0000-5762,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Farmaceutico,2,4,Nao
Alec Jacobs,curabitur.vel.lectus@blanditenim.ca,Brazil,Pernambuco,(61) 0000-3568,605-233 Dolor Street,Auxiliar de Enfermagem,4,5,Nao
Yolanda Garza,duis@erat.ca,Brazil,Rio Grande do Sul,(46) 0000-5865,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Coordenador de Enfermagem,4,9,Nao
Duncan West,enim.nisl@sodales.org,Brazil,Maranhão,(37) 0000-3248,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Enfermeiro UTI,7,9,Nao
Wanda Berry,at.augue.id@quamafelis.co.uk,Brazil,Pará,(32) 0000-2521,8250 Sollicitudin St.,Farmaceutico,7,4,Nao
Wyoming Gentry,cursus.et@nonhendreritid.edu,Brazil,Goiás,(28) 0000-9543,862-9050 Tristique St.,Enfermeiro Chefe,9,7,Sim
Maryam Castillo,proin.mi@ultricesvivamus.co.uk,Brazil,Maranhão,(45) 0000-8037,4735 Et Av.,Nefrologista,3,2,Nao
Gage Mckee,arcu@neque.com,Brazil,Pará,(51) 0000-5255,Ap #172-9343 Cursus Avenue,Nefrologista,3,9,Sim
Xavier Lynn,parturient.montes@sem.ca,Brazil,Minas Gerais,(21) 0000-1567,Ap #592-2708 Faucibus Rd.,Coordenador de Enfermagem,10,8,Nao
Xenos Peterson,amet@velpede.org,Brazil,Rio de Janeiro,(32) 0000-0618,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Auxiliar de Enfermagem,10,7,Nao
Francis Boyer,eget.tincidunt.dui@arcu.net,Brazil,São Paulo,(10) 0000-1866,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Tecnico Enfermagem,6,9,Sim
Doris Harmon,urna.vivamus.molestie@aliquamerat.co.uk,Brazil,Paraíba,(55) 0000-0184,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Enfermeiro Obstreta,8,1,Nao
Kibo Shepard,arcu.sed@duinecurna.com,Brazil,Goiás,(47) 0000-8765,"Jordan Holland,dolor.tempus@suscipitest.com,Brazil,Paraná,(15) 0000-7281,P.O. Box 875, 4205 Sodales Av.,Nefrologista,1,8,Sim",Enfermeiro Plantonista,4,2,Sim
Odysseus Gregory,leo.vivamus.nibh@fuscediam.edu,Brazil,Paraíba,(45) 0000-3240,9000 Felis Rd.,Enfermeiro Chefe,6,10,Nao
Gisela Sheppard,gravida@urnanec.org,Brazil,Rio Grande do Sul,(88) 0000-8897,Ap #171-5020 Nullam Ave,Auxiliar de Enfermagem,6,6,Nao
Isaiah Sharp,felis.eget.varius@vitae.edu,Brazil,Rio de Janeiro,(25) 0000-7268,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Enfermeiro UTI,7,6,Sim
Caesar Rodgers,consectetuer.ipsum.nunc@erat.co.uk,Brazil,São Paulo,(46) 0000-8866,7016 Lacinia St.,Auxiliar de Enfermagem,8,6,Nao
Ethan Montoya,pellentesque@fuscealiquamenim.org,Brazil,Minas Gerais,(33) 0000-6512,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Tecnico Enfermagem,8,6,Nao
Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim
Yuli Mcconnell,lectus@fuscemi.com,Brazil,Maranhão,(81) 0000-3690,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Gerente de Enfermagem,8,1,Nao
Jana Ratliff,sed.dui.fusce@sitamet.co.uk,Brazil,Santa Catarina,(68) 0000-9344,430-9585 Augue Rd.,Enfermeiro Obstreta,5,10,Sim
Benjamin Kane,varius@diampellentesque.ca,Brazil,Goiás,(79) 0000-2241,438-3416 Ut Av.,Tecnico Em Radiologia,10,9,Nao
Zoe Mitchell,arcu.eu@malesuada.com,Brazil,Goiás,(67) 0000-5122,379-4042 Consequat Road,Fisioterapeuta Geral,8,4,Nao
Ulysses Nieves,tellus.phasellus.elit@mipede.org,Brazil,Rio Grande do Sul,(51) 0000-5148,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Fisioterapeuta Geral,8,1,Nao
Sydney Schultz,turpis@pharetranibh.co.uk,Brazil,Ceará,(28) 0000-5061,805 Ultrices St.,Coordenador de Enfermagem,7,4,Sim
Patrick Snider,enim.etiam@arcuetpede.net,Brazil,Maranhão,(69) 0000-3885,Ap #688-6311 Pharetra Rd.,Enfermeiro Chefe,2,8,Nao
Aspen Macias,lorem.ipsum@luctuslobortisclass.ca,Brazil,Goiás,(67) 0000-7274,530-1514 Venenatis St.,Medico,6,6,Sim
Harriet Santos,adipiscing.elit@odio.com,Brazil,Santa Catarina,(67) 0000-6484,Ap #757-4314 Dignissim Avenue,Farmaceutico,1,9,Nao
Zeph Irwin,et.ipsum@lectus.net,Brazil,Paraíba,(33) 0000-6046,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Coordenador de Enfermagem,8,10,Nao
Gavin Watkins,massa.mauris@vehiculaetrutrum.ca,Brazil,Santa Catarina,(05) 0000-2183,240-7927 Duis Rd.,Coordenador de Enfermagem,3,10,Nao
Hamish Goodman,tincidunt.vehicula.risus@risusnulla.ca,Brazil,Ceará,(72) 0000-4658,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Farmaceutico,1,10,Sim
Herrod Kennedy,pellentesque.massa.lobortis@nulla.net,Brazil,São Paulo,(38) 0000-2855,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Coordenador de Enfermagem,7,6,Nao
Lael Mckinney,nulla.in@acarcununc.org,Brazil,Ceará,(25) 0000-1022,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Fisioterapeuta Geral,10,2,Sim
Lana Lloyd,sodales.elit@quisquelibero.net,Brazil,Rio Grande do Sul,(48) 0000-8183,Ap #714-600 Enim Rd.,Nefrologista,1,3,Nao
Breanna Rios,est@donecfelis.org,Brazil,Bahia,(46) 0000-5396,Ap #514-5123 Mauris. Rd.,Medico,7,2,Nao
Kelly Waller,nunc.mauris.sapien@nullaaliquet.org,Brazil,Pará,(18) 0000-0403,Ap #491-3893 Ac Street,Coordenador de Enfermagem,3,5,Sim
Kermit Tucker,hendrerit@vestibulum.edu,Brazil,Pará,(38) 0000-8735,Ap #293-2680 Condimentum. Rd.,Enfermeiro Plantonista,1,4,Sim
Harper Petty,non.dui.nec@sagittissemper.com,Brazil,Santa Catarina,(68) 0000-9171,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Enfermeiro UTI,4,3,Nao
